Model,Qty,Purchase,Total,Sales,Balance
F29 Pro 5G CPH2705 128GB 8GB Marble White IN,2,0,2,0,2
F29 pro 5G CPH2705 256GB 8GB Granite Black,3,0,3,0,3
F29 pro 5G CPH2705 256GB 8GB Marble White,8,0,8,0,8
F29 pro 5G CPH2705 256GB 12GB Granite Black,2,0,2,0,2
F29 pro 5G CPH2705 256GB 12GB Marble White,19,0,19,0,19
A5 Pro 5G 128GB 8GB Mocha Brown IN,4,0,4,0,4
A5 Pro 5G 128GB 8GB Feather Blue IN,6,0,6,0,6
A5 5G 128GB 6GB Mist White IN,1,0,1,0,1
A5 5G 128GB 6GB Aurora Green IN,3,0,3,0,3
A5 5G 128GB 8GB Aurora Green IN,0,0,0,0,0
F31 5G CPH2781 128GB 8GB Cloud Green IN,0,1,1,0,1
F31 5G CPH2781 256GB 8GB Cloud Green IN,7,0,7,0,7
F31 5G CPH2781 256GB 8GB Bloom Red IN,3,0,3,0,3
F31 Pro 5G 256GB 8GB Space Grey IN,17,0,17,0,17
Find X9 Europe 256GB 12GB Space Black,2,0,2,0,2
Find X9 Europe 256GB 12GB Titanium Grey,1,0,1,0,1
Find X9 Europe 256GB 12GB Velvet Red,1,0,1,0,1
Find X9 Europe 512GB 16GB Titanium Grey,1,0,1,0,1
A6x 5G CPH2823 India 64GB 4GB Olive Green IN,4,0,4,0,4
A6x 5G CPH2823 India 128GB 4GB Ice Blue IN,0,10,10,0,10
A6x 5G CPH2823 India 128GB 4GB Olive Green IN,0,10,10,0,10
A6x 5G CPH2823 India 128GB 6GB Ice Blue IN,0,20,20,0,20
A6x 5G CPH2823 India 128GB 6GB Olive Green IN,17,0,17,0,17
